post_id,post_title,post_content,post_status,tags,category,sub_category,sub_category_description,image_credit,image_credit_url,featured_image_credit_1,featured_image_credit_2,featured_image_credit_3
8838,Of manly men and an Alpha mom,"The flyover scene of the Malibu coastline is a fixture in this series spanning 12 seasons. The show ran into some trouble, limped back on track, but never really was the same post the ninth season.
",publish,Entertainment - TV & Film,Entertainment,Real and Reel Locations of Popular Shows,"Think you can recognize your favorite shows from a single establishing shot?

TV series always have an establishing shot that takes the narrative forward. From “Central Perk” to “Rockefeller Plaza,” if you know your TV series, you know which show these shots belong to. Take a look at these shows that enjoyed huge success and the real and reel life locations at which they were filmed. You’ll be surprised. We were!",Warner Bros. Domestic Television Distribution,,Warner Bros. Domestic Television Distribution,,
8840,Two and a Half Men,<i>Two and a Half Men</i> was easily one of the most entertaining shows. Pity that the house the series was filmed in though wasn’t real and was actually a set at the Warner Brother Studios. If those walls could speak…,publish,Entertainment - TV & Film,Entertainment,Real and Reel Locations of Popular Shows,"Think you can recognize your favorite shows from a single establishing shot?

TV series always have an establishing shot that takes the narrative forward. From “Central Perk” to “Rockefeller Plaza,” if you know your TV series, you know which show these shots belong to. Take a look at these shows that enjoyed huge success and the real and reel life locations at which they were filmed. You’ll be surprised. We were!",Warner Bros. Domestic Television Distribution,,Warner Bros. Domestic Television Distribution,,
8842,Bears. Beets. Battlestar Galactica.,"The outside shot of this American workspace is as iconic as its stars. While this is supposedly located in Scranton PA., the real location of filming is about 2500+ miles away.
",publish,Entertainment - TV & Film,Entertainment,Real and Reel Locations of Popular Shows,"Think you can recognize your favorite shows from a single establishing shot?

TV series always have an establishing shot that takes the narrative forward. From “Central Perk” to “Rockefeller Plaza,” if you know your TV series, you know which show these shots belong to. Take a look at these shows that enjoyed huge success and the real and reel life locations at which they were filmed. You’ll be surprised. We were!",NBCUniversal Television Distribution,,NBCUniversal Television Distribution,,
8844,The Office,"While some of the location shots are from Scranton, the interior shots of <i>The Office</i> were filmed on a soundstage at the Chandler Valley Center Studios at 13927 Saticoy Street, Van Nuys. The exterior shots are of the building that houses offices for the studio.",publish,Entertainment - TV & Film,Entertainment,Real and Reel Locations of Popular Shows,"Think you can recognize your favorite shows from a single establishing shot?

TV series always have an establishing shot that takes the narrative forward. From “Central Perk” to “Rockefeller Plaza,” if you know your TV series, you know which show these shots belong to. Take a look at these shows that enjoyed huge success and the real and reel life locations at which they were filmed. You’ll be surprised. We were!",NBCUniversal Television Distribution,,NBCUniversal Television Distribution,,
8846,Daddy lives in the basement,A law firm secretary and a delivery guy get married. Hilarity ensues. Her father comes to live with them. Cue more hilarity. The external shots are of a real house while the internal shots are in a studio.,publish,Entertainment - TV & Film,Entertainment,Real and Reel Locations of Popular Shows,"Think you can recognize your favorite shows from a single establishing shot?

TV series always have an establishing shot that takes the narrative forward. From “Central Perk” to “Rockefeller Plaza,” if you know your TV series, you know which show these shots belong to. Take a look at these shows that enjoyed huge success and the real and reel life locations at which they were filmed. You’ll be surprised. We were!",Sony Pictures Television,,Sony Pictures Television,,
8848,The King of Queens,"Doug and Carrie and Carrie’s father were the mainstays of the nine-season-long series. Despite “Queens” being in the title, the Heffernan house that is shown in the exterior shots is not in Queens but in New Jersey.",publish,Entertainment - TV & Film,Entertainment,Real and Reel Locations of Popular Shows,"Think you can recognize your favorite shows from a single establishing shot?

TV series always have an establishing shot that takes the narrative forward. From “Central Perk” to “Rockefeller Plaza,” if you know your TV series, you know which show these shots belong to. Take a look at these shows that enjoyed huge success and the real and reel life locations at which they were filmed. You’ll be surprised. We were!",Sony Pictures Television,,Sony Pictures Television,,
8850,Pass the Beer Nuts,"This quintessentially 80’s show is an icon by itself. Apart from running for nine seasons and featuring some now-very-big names in entertainment, the main set of this show was the main star and something to clink your glass to.",publish,Entertainment - TV & Film,Entertainment,Real and Reel Locations of Popular Shows,"Think you can recognize your favorite shows from a single establishing shot?

TV series always have an establishing shot that takes the narrative forward. From “Central Perk” to “Rockefeller Plaza,” if you know your TV series, you know which show these shots belong to. Take a look at these shows that enjoyed huge success and the real and reel life locations at which they were filmed. You’ll be surprised. We were!",CBS Television Distribution,,CBS Television Distribution,,
8852,Cheers,"The Boston bar that was the mainstay of this series was actually filmed at Paramount Studios in LA in front of a live audience. The exterior shot of the iconic bar was the Bull &amp; Finch Pub at 84 Beacon Street, Boston.",publish,Entertainment - TV & Film,Entertainment,Real and Reel Locations of Popular Shows,"Think you can recognize your favorite shows from a single establishing shot?

TV series always have an establishing shot that takes the narrative forward. From “Central Perk” to “Rockefeller Plaza,” if you know your TV series, you know which show these shots belong to. Take a look at these shows that enjoyed huge success and the real and reel life locations at which they were filmed. You’ll be surprised. We were!",CBS Television Distribution,,CBS Television Distribution,,
8854,The only place they serve The Big Salad,"Monk’s Café is where the quartet hang out doing nothing in a show about nothing, and still managed to rake in millions and a fan following to boot. Now that’s talent, innit?
",publish,Entertainment - TV & Film,Entertainment,Real and Reel Locations of Popular Shows,"Think you can recognize your favorite shows from a single establishing shot?

TV series always have an establishing shot that takes the narrative forward. From “Central Perk” to “Rockefeller Plaza,” if you know your TV series, you know which show these shots belong to. Take a look at these shows that enjoyed huge success and the real and reel life locations at which they were filmed. You’ll be surprised. We were!",Sony Pictures Television,,Sony Pictures Television,,
8856,Seinfeld,"The exterior of Monk’s Café is, in fact, Tom’s Restaurant, a diner on the corner of West 112th Street in Manhattan, NYC, where Jerry, George, Elaine, and Kramer eat regularly. The indoor scenes of the café were filmed on a set in LA.
",publish,Entertainment - TV & Film,Entertainment,Real and Reel Locations of Popular Shows,"Think you can recognize your favorite shows from a single establishing shot?

TV series always have an establishing shot that takes the narrative forward. From “Central Perk” to “Rockefeller Plaza,” if you know your TV series, you know which show these shots belong to. Take a look at these shows that enjoyed huge success and the real and reel life locations at which they were filmed. You’ll be surprised. We were!",Sony Pictures Television,,Sony Pictures Television,,
8858,"Keep the dress, throw away the ex-boyfriend","Located on the Upper East Side, this apartment is everything fashion, starting with a walk-in wardrobe. How this can be afforded on a columnist’s salary is a question none of us should be asking. Just enjoy the opulence.
",publish,Entertainment - TV & Film,Entertainment,Real and Reel Locations of Popular Shows,"Think you can recognize your favorite shows from a single establishing shot?

TV series always have an establishing shot that takes the narrative forward. From “Central Perk” to “Rockefeller Plaza,” if you know your TV series, you know which show these shots belong to. Take a look at these shows that enjoyed huge success and the real and reel life locations at which they were filmed. You’ll be surprised. We were!",Warner Bros. Domestic Television Distribution | HBO Enterprises,,Warner Bros. Domestic Television Distribution | HBO Enterprises,,
8860,Sex and the City,"Carrie Bradshaw’s enviable apartment isn’t even on the Upper East Side. The interiors were filmed in a studio, designed by production designer Jeremy Conway and the exterior is Perry Street, Manhattan. 
",publish,Entertainment - TV & Film,Entertainment,Real and Reel Locations of Popular Shows,"Think you can recognize your favorite shows from a single establishing shot?

TV series always have an establishing shot that takes the narrative forward. From “Central Perk” to “Rockefeller Plaza,” if you know your TV series, you know which show these shots belong to. Take a look at these shows that enjoyed huge success and the real and reel life locations at which they were filmed. You’ll be surprised. We were!",Warner Bros. Domestic Television Distribution | HBO Enterprises,,Warner Bros. Domestic Television Distribution | HBO Enterprises,,
8862,Are you hungry dear?,"What do you get when you put together a sports writer, his harrowed wife, his cantankerous dad, his overbearing mother, his jealous brother, and his three kids? We call it, comedy gold! Mostly filmed indoors, the exterior shots of the houses are very real!",publish,Entertainment - TV & Film,Entertainment,Real and Reel Locations of Popular Shows,"Think you can recognize your favorite shows from a single establishing shot?

TV series always have an establishing shot that takes the narrative forward. From “Central Perk” to “Rockefeller Plaza,” if you know your TV series, you know which show these shots belong to. Take a look at these shows that enjoyed huge success and the real and reel life locations at which they were filmed. You’ll be surprised. We were!",CBS Television Distribution,,CBS Television Distribution,,
8864,Everybody Loves Raymond,"Located on Margaret Blvd, NY, the houses used as Raymond’s home and his parents’ home are actually across from each other. These can be seen on Google Maps; just look for 135 Margaret Blvd, Merrick, NY and 136 Margaret Blvd, Merrick, NY. Check it out!",publish,Entertainment - TV & Film,Entertainment,Real and Reel Locations of Popular Shows,"Think you can recognize your favorite shows from a single establishing shot?

TV series always have an establishing shot that takes the narrative forward. From “Central Perk” to “Rockefeller Plaza,” if you know your TV series, you know which show these shots belong to. Take a look at these shows that enjoyed huge success and the real and reel life locations at which they were filmed. You’ll be surprised. We were!",CBS Television Distribution,,CBS Television Distribution,,
