post_title,post_content,post_status,tags,category,sub_category,sub_category_description
Help each other to deal with this situation,The world is still reeling from the news of this pandemic. Some are coming to terms with the loss of their loved ones while others are grappling with the scarcity of resources. Help ground one another to the present as you deal with strong emotions.,Draft,Love & Sex,Gallery,22 Ways to Get Out of This Quarantine With Your Sanity and Relationship Intact,"Being cooped up indoors can be testing if you’re not used to it, especially with a whole other person added to this mix. They tell you absence makes the heart grow fonder but nobody tells you what happens if your partner is a room away at all times with the TV playing loudly. Throw in a tense environment too and bam! You’ve got a recipe for disaster. There’s no denying that things can be difficult, but do they have to be this way? Not if it can be helped! 

Here are 22 ways you can ensure you, your SO, and the relationship survives this quarantine. 
"
Be present,"During this quarantine, it helps to be physically present and supportive for your SO. Carve out sometime in a day to be there in each other’s presence and focus on what can be done to make your partner feel better.",Draft,Love & Sex,Gallery,22 Ways to Get Out of This Quarantine With Your Sanity and Relationship Intact,"Being cooped up indoors can be testing if you’re not used to it, especially with a whole other person added to this mix. They tell you absence makes the heart grow fonder but nobody tells you what happens if your partner is a room away at all times with the TV playing loudly. Throw in a tense environment too and bam! You’ve got a recipe for disaster. There’s no denying that things can be difficult, but do they have to be this way? Not if it can be helped! 

Here are 22 ways you can ensure you, your SO, and the relationship survives this quarantine. 
"
Do not be emotionally withdrawn,"People have different ways of coping, but if your partner is sharing their emotions with you, choosing to be standoffish and emotionally withdrawn can worsen things for the both of you immediately.",Draft,Love & Sex,Gallery,22 Ways to Get Out of This Quarantine With Your Sanity and Relationship Intact,"Being cooped up indoors can be testing if you’re not used to it, especially with a whole other person added to this mix. They tell you absence makes the heart grow fonder but nobody tells you what happens if your partner is a room away at all times with the TV playing loudly. Throw in a tense environment too and bam! You’ve got a recipe for disaster. There’s no denying that things can be difficult, but do they have to be this way? Not if it can be helped! 

Here are 22 ways you can ensure you, your SO, and the relationship survives this quarantine. 
"
Kindness and respect go a long way,"Try not to roll your eyes, show contempt, or even belittle your partner as they go about their day. Being disrespectful closes the doors to communication and opens the doors to troubles in your relationship.",Draft,Love & Sex,Gallery,22 Ways to Get Out of This Quarantine With Your Sanity and Relationship Intact,"Being cooped up indoors can be testing if you’re not used to it, especially with a whole other person added to this mix. They tell you absence makes the heart grow fonder but nobody tells you what happens if your partner is a room away at all times with the TV playing loudly. Throw in a tense environment too and bam! You’ve got a recipe for disaster. There’s no denying that things can be difficult, but do they have to be this way? Not if it can be helped! 

Here are 22 ways you can ensure you, your SO, and the relationship survives this quarantine. 
"
Make a conflict-resolution strategy,"There are going to be disagreements and fights, but it would be remiss of you if you let that come in the way of your relationship. How do you tackle this? Work together and think the issue through before saying something you will regret.",Draft,Love & Sex,Gallery,22 Ways to Get Out of This Quarantine With Your Sanity and Relationship Intact,"Being cooped up indoors can be testing if you’re not used to it, especially with a whole other person added to this mix. They tell you absence makes the heart grow fonder but nobody tells you what happens if your partner is a room away at all times with the TV playing loudly. Throw in a tense environment too and bam! You’ve got a recipe for disaster. There’s no denying that things can be difficult, but do they have to be this way? Not if it can be helped! 

Here are 22 ways you can ensure you, your SO, and the relationship survives this quarantine. 
"
Use this time to get closer,"Hopefully, we’re never going to be in a situation like this ever again. Even if you’re not stuck at home together out of your free will, use this time to get in some quality bonding. Discuss a novel, talk about politics, whatever floats your boat!",Draft,Love & Sex,Gallery,22 Ways to Get Out of This Quarantine With Your Sanity and Relationship Intact,"Being cooped up indoors can be testing if you’re not used to it, especially with a whole other person added to this mix. They tell you absence makes the heart grow fonder but nobody tells you what happens if your partner is a room away at all times with the TV playing loudly. Throw in a tense environment too and bam! You’ve got a recipe for disaster. There’s no denying that things can be difficult, but do they have to be this way? Not if it can be helped! 

Here are 22 ways you can ensure you, your SO, and the relationship survives this quarantine. 
"
But also respect boundaries,"If your partner is being obsessive about things like cleaning, don’t chide them for being an overkill. Everyone is anxious about the current situation and this may help them feel in control. Help out and remind yourself that love is the way.",Draft,Love & Sex,Gallery,22 Ways to Get Out of This Quarantine With Your Sanity and Relationship Intact,"Being cooped up indoors can be testing if you’re not used to it, especially with a whole other person added to this mix. They tell you absence makes the heart grow fonder but nobody tells you what happens if your partner is a room away at all times with the TV playing loudly. Throw in a tense environment too and bam! You’ve got a recipe for disaster. There’s no denying that things can be difficult, but do they have to be this way? Not if it can be helped! 

Here are 22 ways you can ensure you, your SO, and the relationship survives this quarantine. 
"
Ensure your partner is aware of your needs,"If something about your partner is bugging you, communicate it, and also mention how they can fix it. Don’t mope about, brood, and expect them to read your mind. Communication is key to the survival of your relationship.",Draft,Love & Sex,Gallery,22 Ways to Get Out of This Quarantine With Your Sanity and Relationship Intact,"Being cooped up indoors can be testing if you’re not used to it, especially with a whole other person added to this mix. They tell you absence makes the heart grow fonder but nobody tells you what happens if your partner is a room away at all times with the TV playing loudly. Throw in a tense environment too and bam! You’ve got a recipe for disaster. There’s no denying that things can be difficult, but do they have to be this way? Not if it can be helped! 

Here are 22 ways you can ensure you, your SO, and the relationship survives this quarantine. 
"
Don’t forget to split up those chores and burdens,"Staying indoors always means twice the amount of cooking, dishes, and laundry needs to be done. Aside from dividing the chores evenly, lend an ear to gripes about how things are tough and the new laundry powder is just not good enough.",Draft,Love & Sex,Gallery,22 Ways to Get Out of This Quarantine With Your Sanity and Relationship Intact,"Being cooped up indoors can be testing if you’re not used to it, especially with a whole other person added to this mix. They tell you absence makes the heart grow fonder but nobody tells you what happens if your partner is a room away at all times with the TV playing loudly. Throw in a tense environment too and bam! You’ve got a recipe for disaster. There’s no denying that things can be difficult, but do they have to be this way? Not if it can be helped! 

Here are 22 ways you can ensure you, your SO, and the relationship survives this quarantine. 
"
And then be a responsible partner,"Now that you’ve divided the responsibilities, ensure that you actually get it done. Do not leave the majority of the work for your partner, as that is majorly uncool and will lead to tensions and fights.",Draft,Love & Sex,Gallery,22 Ways to Get Out of This Quarantine With Your Sanity and Relationship Intact,"Being cooped up indoors can be testing if you’re not used to it, especially with a whole other person added to this mix. They tell you absence makes the heart grow fonder but nobody tells you what happens if your partner is a room away at all times with the TV playing loudly. Throw in a tense environment too and bam! You’ve got a recipe for disaster. There’s no denying that things can be difficult, but do they have to be this way? Not if it can be helped! 

Here are 22 ways you can ensure you, your SO, and the relationship survives this quarantine. 
"
