post_id,post_title,post_content,post_status,tags,category,sub_category,sub_category_description,image_credit,image_credit_url,featured_image_credit_1,featured_image_credit_2,featured_image_credit_3
7697,Cardigan and jeans,"If you have a knitted cardigan in any pastel shade, you can team it up with denims and a plain white t-shirt for some soothing summer vibes. Check out <a href=""https://urbsuburbstyle.com/"">Urbanite | Suburbanite by Paul Julch</a> for a stylish list of ideas for work-at-home wear.",publish,Lifestyle,Gallery,Make Your Downtime Super Stylish with These Fabulous Outfit Ideas,"Downtime at home does not mean no work is getting done. Usually, home clothes have always been slightly shapeless, slightly worn-out, and infinitely comfortable. But considering the number of hours being spent at home, (all of them), it is impossible to wear the same track pants for the fifth day and not feel like a sloth. The first step to productivity is feeling in control as you hold fort during quarantine. And while they may not be as snazzy as your powerful pinstriped trousers, these stylish and chic stay-at-home outfits definitely get the job done!",in.pinterest.com,,in.pinterest.com,,
7699,Sweater and leggings,"Another comfy yet chic stay-at-home outfit by <a href=""https://urbsuburbstyle.com/"">Urbanite | Suburbanite’s Paul Julch</a> is pairing your leggings with the sweater you got on-sale ages ago, but never wore. This versatile combination lets you play around with different colors and patterns to suit your mood.",publish,Lifestyle,Gallery,Make Your Downtime Super Stylish with These Fabulous Outfit Ideas,"Downtime at home does not mean no work is getting done. Usually, home clothes have always been slightly shapeless, slightly worn-out, and infinitely comfortable. But considering the number of hours being spent at home, (all of them), it is impossible to wear the same track pants for the fifth day and not feel like a sloth. The first step to productivity is feeling in control as you hold fort during quarantine. And while they may not be as snazzy as your powerful pinstriped trousers, these stylish and chic stay-at-home outfits definitely get the job done!",images.squarespacecdn.com,,images.squarespacecdn.com,,
7701,Fleece comfort,"Fleece is not only cozy but when paired with the right pair of pants, can look uber-classy as well. You can either relax in your fleece outfit (like Lea Michele with a soothing cup of tea), or attend that unexpected Zoom meeting!",publish,Lifestyle,Gallery,Make Your Downtime Super Stylish with These Fabulous Outfit Ideas,"Downtime at home does not mean no work is getting done. Usually, home clothes have always been slightly shapeless, slightly worn-out, and infinitely comfortable. But considering the number of hours being spent at home, (all of them), it is impossible to wear the same track pants for the fifth day and not feel like a sloth. The first step to productivity is feeling in control as you hold fort during quarantine. And while they may not be as snazzy as your powerful pinstriped trousers, these stylish and chic stay-at-home outfits definitely get the job done!",www.heddels.com,,www.usmagazine.com,,
7703,Flowing maxi dresses,"Take a leaf out of Busy Philipps’ fashion lookbook and team up your maxi dress with a light cardigan in a matching or contrasting shade. You can pick an exuberant printed number, like <a href=""https://www.instagram.com/p/B-iodDeBG1i/"">Philipps here</a>, or choose something more subtle and no less cute.",publish,Lifestyle,Gallery,Make Your Downtime Super Stylish with These Fabulous Outfit Ideas,"Downtime at home does not mean no work is getting done. Usually, home clothes have always been slightly shapeless, slightly worn-out, and infinitely comfortable. But considering the number of hours being spent at home, (all of them), it is impossible to wear the same track pants for the fifth day and not feel like a sloth. The first step to productivity is feeling in control as you hold fort during quarantine. And while they may not be as snazzy as your powerful pinstriped trousers, these stylish and chic stay-at-home outfits definitely get the job done!",www.threadsmagazine.com,,www.usmagazine.com,,
7705,Knitted robes and slip dresses,"Slip dresses are comfortably, breezy, and sexy. Pair them with a knitted robe for a more practical stay-at-home outfit. Need to dance to smooth jazz? Take off the robe. Need to be on a con call? On it goes! ",publish,Lifestyle,Gallery,Make Your Downtime Super Stylish with These Fabulous Outfit Ideas,"Downtime at home does not mean no work is getting done. Usually, home clothes have always been slightly shapeless, slightly worn-out, and infinitely comfortable. But considering the number of hours being spent at home, (all of them), it is impossible to wear the same track pants for the fifth day and not feel like a sloth. The first step to productivity is feeling in control as you hold fort during quarantine. And while they may not be as snazzy as your powerful pinstriped trousers, these stylish and chic stay-at-home outfits definitely get the job done!",www.thezoereport.com,,www.usmagazine.com,,
7707,Stitch jumpers,"Pick a loose-fit, wide neck, knitted stitch jumper that you can wear all-year round. You can then wear it with leggings, white denims, or layer it over a bunch of summer outfits everytime you need a picture for the ‘Gram. ",publish,Lifestyle,Gallery,Make Your Downtime Super Stylish with These Fabulous Outfit Ideas,"Downtime at home does not mean no work is getting done. Usually, home clothes have always been slightly shapeless, slightly worn-out, and infinitely comfortable. But considering the number of hours being spent at home, (all of them), it is impossible to wear the same track pants for the fifth day and not feel like a sloth. The first step to productivity is feeling in control as you hold fort during quarantine. And while they may not be as snazzy as your powerful pinstriped trousers, these stylish and chic stay-at-home outfits definitely get the job done!",in.pinterest.com,,www.sosandar.com,,
7709,Sheer tops and cropped trousers,"Pick a pair of cotton cropped trousers and team it up with a plain sheer top. Choose calming contrasts like <a href=""https://www.instagram.com/p/B-Z7-izJ5Uu/"">Aimee Carrero</a> here, who carried off the look perfectly, much to our collective envy. Avoid combinations that clash to keep the look classy.",publish,Lifestyle,Gallery,Make Your Downtime Super Stylish with These Fabulous Outfit Ideas,"Downtime at home does not mean no work is getting done. Usually, home clothes have always been slightly shapeless, slightly worn-out, and infinitely comfortable. But considering the number of hours being spent at home, (all of them), it is impossible to wear the same track pants for the fifth day and not feel like a sloth. The first step to productivity is feeling in control as you hold fort during quarantine. And while they may not be as snazzy as your powerful pinstriped trousers, these stylish and chic stay-at-home outfits definitely get the job done!",www.usmagazine.com,,www.usmagazine.com,,
7711,Chambray jumpsuits,"Looking for something casual yet chic without picking up an item from your work wardrobe? Take a cue from <a href=""https://www.instagram.com/p/B-U-5ICHVA2/"">Millie Bobby Brown</a> wearing this light chambray jumpsuit! Pick airy colors and materials to usher the sun in as you stick to the window all morning.",publish,Lifestyle,Gallery,Make Your Downtime Super Stylish with These Fabulous Outfit Ideas,"Downtime at home does not mean no work is getting done. Usually, home clothes have always been slightly shapeless, slightly worn-out, and infinitely comfortable. But considering the number of hours being spent at home, (all of them), it is impossible to wear the same track pants for the fifth day and not feel like a sloth. The first step to productivity is feeling in control as you hold fort during quarantine. And while they may not be as snazzy as your powerful pinstriped trousers, these stylish and chic stay-at-home outfits definitely get the job done!",www.usmagazine.com,,www.usmagazine.com,,
7713,Workout legging and oversized cardigans,"This outfit inspo from <a href=""https://www.instagram.com/p/B-NjqkBn1eZ/"">Olivia Culpo</a> was made for the OOTD hashtag and we’re pinning it. The best thing about this outfit is that it is as comfy as it gets without making you look tardy. Who would have thought workout leggings could do this?",publish,Lifestyle,Gallery,Make Your Downtime Super Stylish with These Fabulous Outfit Ideas,"Downtime at home does not mean no work is getting done. Usually, home clothes have always been slightly shapeless, slightly worn-out, and infinitely comfortable. But considering the number of hours being spent at home, (all of them), it is impossible to wear the same track pants for the fifth day and not feel like a sloth. The first step to productivity is feeling in control as you hold fort during quarantine. And while they may not be as snazzy as your powerful pinstriped trousers, these stylish and chic stay-at-home outfits definitely get the job done!",www.usmagazine.com,,www.usmagazine.com,,
7715,Satin blouses,"If you want to oomph up your stay-at-home glam quotient, pick a vibrant satin blouse and pair it up with a midi skirt or a pair of leggings. Voila! You’ve got a stunning outfit right there.",publish,Lifestyle,Gallery,Make Your Downtime Super Stylish with These Fabulous Outfit Ideas,"Downtime at home does not mean no work is getting done. Usually, home clothes have always been slightly shapeless, slightly worn-out, and infinitely comfortable. But considering the number of hours being spent at home, (all of them), it is impossible to wear the same track pants for the fifth day and not feel like a sloth. The first step to productivity is feeling in control as you hold fort during quarantine. And while they may not be as snazzy as your powerful pinstriped trousers, these stylish and chic stay-at-home outfits definitely get the job done!",www.etsy.com,,www.usmagazine.com,,
